TICKER	6m	1y	5y	10y	STATUS
941	N/A	N/A	N/A	N/A	Not present in data base.
3311	N/A	N/A	N/A	N/A	Not present in data base.
267	N/A	N/A	N/A	N/A	Not present in data base.
902	N/A	N/A	N/A	N/A	Not present in data base.
3690	N/A	N/A	N/A	N/A	Not present in data base.
2318	N/A	N/A	N/A	N/A	Not present in data base.
700	N/A	N/A	N/A	N/A	Not present in data base.
9540	N/A	N/A	N/A	N/A	Not present in data base.
51910	N/A	N/A	N/A	N/A	Not present in data base.
3670	N/A	N/A	N/A	N/A	Not present in data base.
5930	N/A	N/A	N/A	N/A	Not present in data base.
AZN	-0.06185077833546006	0.24291618888196537	0.9715986852109629	2.706085742399006	Passed
AV	N/A	N/A	N/A	N/A	Not present in data base.
BHP	-0.022768884412176952	0.14487550107149896	1.0525777060146475	0.8765589938085088	Failed
BT.A	N/A	N/A	N/A	N/A	Not present in data base.
BNZL	N/A	N/A	N/A	N/A	Not present in data base.
CAR	-0.015211640211640162	0.017366053635483752	4.401451027811367	4.873767258382642	Failed
CCL	0.3627954779033915	0.9615384615384616	-0.767405146555807	-0.5050428888175527	Failed
CLIG	N/A	N/A	N/A	N/A	Not present in data base.
CPG	0.06058304448096335	0.08167490598723953	0.37543206117807176	-0.6832493339162425	Failed
DSCV	N/A	N/A	N/A	N/A	Not present in data base.
DOM	N/A	N/A	N/A	N/A	Not present in data base.
EZJ	0.017980181786241813	0.3045550052528892	-0.1903893321742369	0.17078728196532406	Failed
EXPN	N/A	N/A	N/A	N/A	Not present in data base.
FERG	0.32084314441288536	0.5522015522015522	1.438678110330831	2.6805387958742237	Passed
GLEN	N/A	N/A	N/A	N/A	Not present in data base.
HSW	N/A	N/A	N/A	N/A	Not present in data base.
HSBA	N/A	N/A	N/A	N/A	Not present in data base.
IHG	0.12707367213271503	0.5572330627166121	0.3362831701653171	3.510073533807616	Passed
JMAT	N/A	N/A	N/A	N/A	Not present in data base.
LLOY	N/A	N/A	N/A	N/A	Not present in data base.
LOOK	N/A	N/A	N/A	N/A	Not present in data base.
MNDI	N/A	N/A	N/A	N/A	Not present in data base.
NWG	-0.1424480594650582	0.173650198040442	0.16885004256025907	-0.35258334195788915	Failed
NXT	0.038508557457212655	0	0	0	Failed
OTB	N/A	N/A	N/A	N/A	Not present in data base.
PSON	N/A	N/A	N/A	N/A	Not present in data base.
RKT	-0.13976164680390032	0.18684603886397608	0	0	Failed
RMV	N/A	N/A	N/A	N/A	Not present in data base.
RIO	-0.0443631296799234	0.14995826764351294	0.871907201710078	1.514692700496043	Failed
SHEL	0.08700412701086498	0.29068776676814023	0.15829492094946804	0.5618911153979277	Failed
SGE	0	0	0	0	Failed
SBRY	N/A	N/A	N/A	N/A	Not present in data base.
SDR	N/A	N/A	N/A	N/A	Not present in data base.
SVT	-0.026102610261026025	-0.05994787141615982	0.042218519124998785	0.38326024980503964	Failed
SN	0	0	0	0	Failed
SMIN	0.2594676476953039	0.21697144812378805	0.9805410756546891	0	Passed
SSE	N/A	N/A	N/A	N/A	Not present in data base.
STAN	N/A	N/A	N/A	N/A	Not present in data base.
TLW	N/A	N/A	N/A	N/A	Not present in data base.
ULVR	N/A	N/A	N/A	N/A	Not present in data base.
UU	N/A	N/A	N/A	N/A	Not present in data base.
VOD	-0.1341750044127347	-0.09525103871393618	-0.38840729973948246	-0.43432185387052524	Failed
WTB	N/A	N/A	N/A	N/A	Not present in data base.
WYN	N/A	N/A	N/A	N/A	Not present in data base.
AWE	N/A	N/A	N/A	N/A	Not present in data base.
RR	N/A	N/A	N/A	N/A	Not present in data base.
ACHC	-0.047691039032435385	-0.1357116128227516	0.9408963585434174	0.7348522784176267	Failed
ATVI	0.11775841046783594	0.2986404513271652	0.2275244749415153	5.016612080468355	Passed
ADBE	0.3838150289017339	0.8238736710877168	1.0009117848187823	9.212914485165793	Passed
AMD	0.15972747918243752	0.8350444900752909	2.921023765996343	26.42710997442455	Passed
AEHR	0.4035597529967308	1.2478184991273995	18.815384615384616	11.586319218241043	Passed
AMTX	1.0394088669950738	-0.3418124006359301	3.1399999999999997	0	Failed
GOOG	0.27392102846648286	0.3932911519533996	1.3973733097161616	0	Passed
AMZN	0.2537722908093278	0.11696927374301669	0.35432487497684745	7.0215646940822465	Failed
AAL	-0.08922198429693076	0.04761904761904762	-0.6432336009081328	-0.34061618280847905	Failed
AEP	-0.22439825313845047	-0.09640559902674065	0.1908829722271348	1.3761680765146294	Failed
AMGN	0.07445718761925814	0.20710843215808716	0.5260664264245077	2.1041029818978583	Passed
AAPL	0.08087452019378218	0.2744963827562951	2.305303983814878	10.789551395031756	Passed
ARCB	0.1049720477031624	0.31372376679464486	1.432856949085663	3.1182730160850634	Passed
BIDU	-0.07055659010966285	0.1188973762869478	-0.3446162824627955	-0.1524528301886793	Failed
RTC	-0.5351105331599479	0	0	0	Failed
OZK	0.12321755706293014	-0.08167912279192623	0.13470676503688875	0.9698581367834928	Failed
BECN	0.3823315118397086	0.30305631868131866	1.2762447510497898	1.2261660310941622	Passed
AVGO	0.3724685338621044	0.8848394031022272	3.1116767319062824	24.203729600949394	Passed
CZR	-0.015235151247515958	0.1963519313304721	0.0011223344556678847	0	Failed
CASY	0.2582427493058418	0.35615994036736526	1.2691064700464247	3.0660162390464962	Passed
CPRX	-0.2790563866513234	0.022857142857142805	2.6530612244897958	2.8201219512195124	Failed
CHPT	-0.5310119695321002	-0.7013167013167014	0	0	Failed
CAKE	-0.11449197650359148	-0.02457418975919696	-0.3756154662804583	-0.19497430417467645	Failed
CAAS	-0.3026584867075664	-0.17433414043583528	-0.028379302484613542	-0.5502861815208504	Failed
CHNR	-0.25553191489361704	-0.2859183673469388	-0.8066850828729282	-0.9182476635514019	Failed
CSCO	0.05804919087444954	0.3680468284093032	0.29195843495369994	2.172276264014102	Passed
CTSH	0.13267905979623804	0.18050359336662788	-0.03242737500285254	0.739893154556576	Failed
CMCSA	0.16911723177137264	0.528507885159725	0.4117028117145028	1.3333208087986645	Failed
COST	0.1518200532250233	0.19991513405950925	1.7215855657065227	4.915029032597501	Passed
DJCO	0.02985749044143216	0.16192156862745105	0.20885352917176675	1.074859943977591	Failed
DLTR	-0.29314278046162107	-0.2578372666431842	0.30642361111111105	0.7792602600912006	Failed
DBX	0.300235294117647	0.3113431419079259	0.1479019526381387	0	Failed
ENDP	-0.958108108108108	-0.9696673189823874	-0.9998215313759355	-0.9999319279754062	Failed
ETSY	-0.397270805304632	-0.43208982252806954	0.4126126126126126	0	Failed
FTNT	-0.08531746031746026	0.16436759277248886	2.480255516840883	12.815122176118026	Passed
GMAB	-0.0954218106995885	0.0019943019943020023	1.3009486424599281	7.2096171802054165	Failed
ROCK	0.4012491923325437	0.4742805347835939	0.5140795904119154	3.6974729241877258	Passed
GILD	-0.08611367210140063	0.2061297339865863	0.19939981866178805	0.5810560963949213	Failed
GBCI	-0.24035395510251123	-0.38217471998933494	-0.19751299374189998	0.6768904593639576	Failed
GOGO	-0.19267955801104977	-0.08025177025963819	1.0912343470483006	-0.3183673469387755	Failed
GEG	-0.1095890410958904	-0.025000000000000022	0	0	Failed
GRPN	2.6750629722921913	0.770631067961165	-0.8059840425531914	-0.9362882096069869	Failed
HBIO	0.025821596244131533	0.7836734693877551	-0.06823027718550112	0.1078155499784521	Failed
HAS	0.1573112363168706	-0.10885006453043704	-0.31926720775897666	0.6656083224428465	Failed
HTLD	-0.04992646286374612	0.015680934398382758	-0.16254789161158892	0.0994855896722819	Failed
HIBB	-0.20032659334325925	-0.15267329575918623	1.6325002541023412	-0.1450028885037551	Failed
ILMN	-0.39119092134440625	-0.3208846638859249	-0.5750789026462733	0.724596625200148	Failed
IOSP	-0.0026720304473432602	0.21376115964289152	0.48079938279286244	1.5308759357860604	Failed
INTC	0.11137060373114782	0.45435485561764677	-0.11525575052366692	1.1179233650786191	Failed
JJSF	0.03216741290592238	0.2253539785202471	0.15472946369937424	1.2744501205464382	Failed
JBLU	-0.3208092485549133	-0.28895612708018154	-0.7403314917127073	-0.2974588938714499	Failed
KALU	-0.027894948314278387	0.04128955115493986	-0.2576198148660591	0.20952043339150658	Failed
KDP	-0.14499536528914347	-0.15562881364023098	0.5067092907893814	3.932580952068502	Failed
LE	-0.25081081081081086	-0.20161290322580647	-0.5543408360128618	0	Failed
LQDA	-0.019259259259259243	0.21691176470588228	-0.7878884972765139	0	Failed
LULU	0.007932369006120944	0.2313728120179733	1.3870254810192408	3.8034009156311317	Passed
LYFT	0.17603393425238603	-0.11350919264588329	0	0	Failed
MANH	0.34676736766716576	0.5273573063575278	3.009497964721845	7.638546669450824	Passed
