ticker	avg_revenue_growth	avg_earnings_growth	current_ratio	de_ratio	roa	inventory_turnover	pe_ratio	pb_ratio	pcf_ratio	avg_annual_return
ASML	0.1829354711184556	0.1987327038404485	1.2694988346300655	0.3774942406521354	0.16472982022356153	1.7223985976136813	39.592126245847176	21.01301408825093	27.943733448171717	0.3663999616785888
AZN	0.19662422329177748	0.12157607135513249	0.8592781348647929	0.7892647892647893	0.034078542333882654	1.8112848998684403	23.168384879725085	5.6794664794664795	21.446818923327896	0.15250309499323444
FERG	N/A	N/A	1.671946951556456	0.7554099662497519	0.11810679004626735	5.031952375167052	N/A	7.5214797456343065	13.913218317576204	0.2372046488320266
IHG	0.034346845790836446	0.936231025596556	1.0867875647668395	-1.7479876160990713	0.08894686907020873	700.5	19.255213251997244	-8.501597523219814	21.253993808049536	0.09256101754315865
SMIN	N/A	N/A	N/A	N/A	N/A	N/A	16.340386431506673	N/A	N/A	0.1798076532681657
ATVI	0.01593736777559658	-0.021842428882365938	4.070042194092827	0.1876526529127475	0.05525325932147683	N/A	56.095238095238095	3.8444317414124614	33.3236036036036	0.07372104675718037
ADBE	0.18276469970845688	0.1259136062510009	1.106791338582677	0.2582734324959078	0.17507822565801584	N/A	44.63389830508474	17.317355348373777	33.655070539419086	0.2677067849909287
AMD	0.4065778584933015	0.4745662288196799	2.358140995446695	0.045059360730593606	0.01953240603728914	4.539993014320642	57.04255319148936	3.1574589954337897	48.491130434782605	0.5161564316424727
AEHR	0.5358416235198719	N/A	5.459283787098356	0.08333333333333333	0.1483243838073016	1.6537898816704741	214.66666666666669	14.586599999999999	110.15352712016782	2.635629716507935
GOOG	0.20349293830212212	0.19034290256842062	2.377994227994228	0.05977887438315947	0.16418809409084936	65.73072916666666	33.348557692307686	6.959139273221312	19.48239543144434	0.250157645109709
AMGN	0.26985857777513794	0.00022722288307837764	1.414292088990884	10.625512155148867	0.10061270557884554	1.4210292812777285	19.187230989956962	39.01365200764818	14.692827898364367	0.09594507912469133
AAPL	0.11063078192445505	0.1816324294340304	0.9880116717592975	1.7875325845589418	0.27509834563776475	37.977653631284916	28.964346405228756	44.354130643481476	24.9353808289064	0.31984952712855214
ARCB	0.16083799053299322	0.3041670071838992	1.2879917238148528	0.2298269673206815	0.1195568591572899	118.1286219257194	18.167348066298345	2.0921236024524905	5.116346638490376	0.32604922711209844
BECN	0.08129745499694571	0.2930178679359069	1.7320504105004444	2.0859004400754415	0.06995269342285976	4.708985859814505	10.051655629139074	2.741183059953135	11.957736225380204	0.18799057024166893
AVGO	0.12492949964599324	0.09991946199852673	2.6239364719228586	3.552512219824739	0.15693047004054664	6.895096213531968	27.10035267714011	15.55853097890704	21.111297801147227	0.35936384339040817
CASY	0.14573233878107583	0.0491797018016517	0.9933450182014292	0.5938362800892709	0.07515912957008515	31.944724997539765	59.571725663716826	3.771107933923912	11.376662265955366	0.18553136480972904
CSCO	0.02784688173139551	-0.15198222577338238	1.3845220224216679	0.18918675174170857	0.12383654714684052	6.839987121699935	N/A	4.899954907221609	10.928678467263401	0.0854232051569784
COST	0.12322285074028148	0.18272733061602695	1.0683679242473871	0.5164817623114375	0.09119633591326783	12.303142542971237	39.218393234672305	9.833916898276	22.264030505692087	0.2262349235048556
FTNT	0.24625258112656906	0.26547355610255396	1.237785862785863	-3.5170454545454546	0.13765253692999357	4.926884650317893	53.035398230088504	-166.31851917613636	27.063038830463423	0.39297917463181936
ROCK	0.13939198028074565	0.09411471458902446	1.968869589448263	0.10796996468795121	0.06806964736046944	6.1821927650353325	19.95705521472393	2.6954704968623	21.57875178934863	0.14971400281419972
LULU	0.2587005314391685	0.13657576637651764	2.1173148603603544	0.0	0.15245125857895023	2.9978507345947216	74.03629032258065	14.251821122910673	46.43335554490964	0.23559907317404633
MANH	0.0860795359927498	0.09548106854854985	1.3161647047640173	0.06201499118165785	0.22617323011410473	N/A	75.76923076923077	56.72101523148148	71.61568921950676	0.35189290107882776
MAR	0.08107766753905774	-3.370419298626308	0.4514238997138575	0.1619718309859155	0.09502317146886964	N/A	30.337461300309595	107.1679366197183	25.76021498095641	0.1445121724150366
META	0.21130957124507002	0.08423927225267144	2.203396729075705	0.1584800299093968	0.12491452508251358	N/A	32.960292580982234	6.6215886185199615	16.49172402179297	0.3257013336003553
MSFT	0.1425285567832066	0.024407476489355172	1.76916725076573	0.2290578645446919	0.175643726819038	21.103172060237103	109.4515050167224	11.794010949312153	27.770504441551918	0.28443291083204236
NTES	0.10408459737248894	0.32805439447770096	2.3157816135175153	0.262869491080686	0.11772102364431414	44.65928841806626	3.9584313725490197	0.649114780672528	2.4534293628408985	0.24519515081889764
NFLX	0.19223974264635288	0.3482951685345951	1.168390288506809	0.6869964149991619	0.09243637092783322	N/A	38.53636363636363	8.177358107097225	83.85128269107028	0.19588763512384239
NVDA	0.27002023949309645	0.2527779140151622	3.515617857687033	0.4955884349124474	0.10606575688407557	0.2679031427099433	120.74406332453826	51.06062712094476	200.05157241623826	0.9191803647226813
NXPI	0.09800694924237355	0.12965391303329699	2.120795107033639	1.5102698348771648	0.11994319159924255	3.8290138000673175	19.28488372093023	6.93740597664116	13.267454973042362	0.23035644713444645
ORLY	0.11018085939460444	0.1394222953239625	0.7146644654016376	-12.390555002488801	0.17205049200667819	1.7470999038096906	30.86383852206637	-53.03026374227906	17.867691042690385	0.21770089627317266
PCAR	0.07557732781982203	0.17850704538805234	570.9722222222222	1.2294506763068558	0.09050502622049256	11.530181086519114	12.641618497109826	6.944133180426974	30.2061764122894	0.2058678788335114
