TICKER	RETURN
SMH	0.2967831417320545
IYW	0.22713748247658933
XLK	0.2208608486708305
VGT	0.20689774844213407
QQQ	0.1934199128505468
GRID	0.18661917420758284
VUG	0.15784796611357185
IWF	0.15658214426716793
PAVE	0.1486439722013992
MOAT	0.13134492175838725
DSI	0.12398987907140235
ESGV	0.12016509495125052
QUAL	0.11639036422173574
IVV	0.11414064390112458
VOO	0.1140146866675853
ESGU	0.11383856631438746
SPY	0.11377967718902811
VTI	0.10794851207368483
XLY	0.10147701898679617
VIG	0.09867133875199045
